1;wie;how;Wie geht es Ihnen?;How are you?;[sound:1.mp3]
2;heißen;to be called;Wie heißen Sie?;'What''s your name?';[sound:2.mp3]
3;Guten Tag;Good day;Guten Tag!;Good day!;[sound:3.mp3]
4;und;and;Ich möchte Brot und Käse.;I want bread and cheese.;[sound:4.mp3]
5;woher;where from;Woher kommen Sie?;Where are you from?;[sound:5.mp3]
6;kommen;to come;Ich komme aus Deutschland.;I come from Germany.;[sound:6.mp3]
7;Woher kommen Sie?;Where are you from?;;;[sound:7.mp3]
8;Ich komme aus ...;I come from ...;;;[sound:8.mp3]
9;Guten Morgen;Good morning;Guten Morgen!;Good morning!;[sound:9.mp3]
10;der Name;name;Wie ist Ihr Name?;What is your name?;[sound:10.mp3]
11;neu;new;Ich bin neu hier.;I am new here.;[sound:11.mp3]
12;das Haus;house;Mein Haus ist groß.;My house is big.;[sound:12.mp3]
13;Ich bin neu hier im Haus;I am new here in the house.;;;[sound:13.mp3]
14;Entschuldigung;excuse me;Entschuldigung, können Sie das wiederholen?;Excuse me, can you repeat that?;[sound:14.mp3]
15;wohnen;to live;Ich wohne in Berlin.;I live in Berlin.;[sound:15.mp3]
16;schon lang(e);a long time;Ich lebe schon lange hier.;I have been living here for a long time.;[sound:16.mp3]
17;hier;here;Ich bin hier.;I am here.;[sound:17.mp3]
18;Hallo;Hello;Hallo, wie geht es dir?;Hello, how are you?;[sound:18.mp3]
19;wer;who;Wer ist das?;Who is that?;[sound:19.mp3]
20;Wie bitte?;Pardon?;Wie bitte? Ich habe dich nicht verstanden.;'Pardon? I didn''t understand you.';[sound:20.mp3]
21;schreiben;to write;Kannst du mir das aufschreiben?;Can you write that down for me?;[sound:21.mp3]
22;Wie schreibt man das?;How is that written?;;;[sound:22.mp3]
23;buchstabieren;to spell;Können Sie das für mich buchstabieren?;Can you spell that for me?;[sound:23.mp3]
24;der Familienname;surname;Mein Familienname ist Müller.;My surname is Müller.;[sound:24.mp3]
25;der Vorname;first name;Sein Vorname ist Peter.;His first name is Peter.;[sound:25.mp3]
26;das Land;country;Deutschland ist ein schönes Land.;Germany is a beautiful country.;[sound:26.mp3]
27;Frau ...;Mrs. ...;Frau Müller, wie geht es Ihnen?;Mrs. Müller, how are you?;[sound:27.mp3]
28;Herr ...;Mr. ...;Herr Schmidt, das ist mein Chef.;'Mr. Schmidt, that''s my boss.';[sound:28.mp3]
29;Wie geht es Ihnen?;How are you?;;;[sound:29.mp3]
30;danke;thank you;Danke für deine Hilfe.;Thank you for your help.;[sound:30.mp3]
31;gut;good;Mir geht es gut.;I am good.;[sound:31.mp3]
32;auch;also;Ich möchte auch Kaffee.;I would like coffee too.;[sound:32.mp3]
33;Auf Wiedersehen;Goodbye;Auf Wiedersehen, bis bald!;Goodbye, see you soon!;[sound:33.mp3]
34;Bis bald!;See you soon!;;;[sound:34.mp3]
35;Es geht so.;'It''s okay.';Wie geht es dir? - Es geht so.;'How are you? - It''s okay.';[sound:35.mp3]
36;Tschüss;Goodbye;Tschüss, bis morgen!;Goodbye, see you tomorrow!;[sound:36.mp3]
37;Bis morgen.;See you tomorrow.;;;[sound:37.mp3]
38;was;what;Was machst du?;What are you doing?;[sound:38.mp3]
39;machen;to do;Ich möchte heute Abend nichts machen.;'I don''t want to do anything tonight.';[sound:39.mp3]
40;Was machst du?;What are you doing?;;;[sound:40.mp3]
41;lernen;to learn;Ich lerne Deutsch.;I am learning German.;[sound:41.mp3]
42;Deutsch;German;Ich lerne Deutsch.;I am learning German.;[sound:42.mp3]
43;wo;where;Wo ist das Restaurant?;Where is the restaurant?;[sound:43.mp3]
44;die Zahl;number;Die Zahl 7 ist eine Glückszahl.;The number 7 is a lucky number.;[sound:44.mp3]
45;die Nummer;number;Meine Nummer ist 555-1234.;My number is 555-1234.;[sound:45.mp3]
46;Meine Nummer ist ...;My number is ...;;;[sound:46.mp3]
47;ja;yes;Bist du bereit? - Ja.;Are you ready? - Yes.;[sound:47.mp3]
48;nein;no;Möchtest du Tee? - Nein, danke.;Would you like some tea? - No, thank you.;[sound:48.mp3]
49;Ja, genau.;Yes, exactly.;;;[sound:49.mp3]
50;nicht;not;Das ist nicht mein Buch.;This is not my book.;[sound:50.mp3]
51;der Beruf;occupation;Was sind Sie von Beruf?;What is your occupation?;[sound:51.mp3]
52;der/die Ingenieur/in;engineer;Er ist Ingenieur.;He is an engineer.;[sound:52.mp3]
53;der/die Verkäufer/in;salesperson;Sie ist Verkäuferin.;She is a salesperson.;[sound:53.mp3]
54;der/die Arzt/Ärztin;doctor;Der Arzt ist im Krankenhaus.;The doctor is at the hospital.;[sound:54.mp3]
55;der/die Lehrer/in;teacher;Der Lehrer unterrichtet Deutsch.;The teacher teaches German.;[sound:55.mp3]
56;die Heimat;homeland;Meine Heimat ist Deutschland.;My homeland is Germany.;[sound:56.mp3]
57;wo liegt...?;where is...?;Wo liegt Berlin?;Where is Berlin?;[sound:57.mp3]
58;in;in;Ich wohne in einem Haus.;I live in a house.;[sound:58.mp3]
59;die Nationalität, -en;nationality;Welche Nationalität hast du?;What is your nationality?;[sound:59.mp3]
60;die Sprache, -n;language;Deutsch ist eine schöne Sprache.;German is a beautiful language.;[sound:60.mp3]
61;die Muttersprache, -n;mother tongue;Meine Muttersprache ist Spanisch.;My mother tongue is Spanish.;[sound:61.mp3]
62;sprechen, er spricht;to speak;Ich spreche Englisch.;I speak English.;[sound:62.mp3]
63;ein bisschen;a little;Ich verstehe ein bisschen Deutsch.;I understand a little German.;[sound:63.mp3]
64;arbeiten;to work;Ich arbeite von Montag bis Freitag.;I work from Monday to Friday.;[sound:64.mp3]
65;lernen;to learn;Ich lerne Deutsch in der Schule.;I learn German in school.;[sound:65.mp3]
66;lieben;to love;Ich liebe meine Familie.;I love my family.;[sound:66.mp3]
67;leben;to live;Ich lebe in einer kleinen Stadt.;I live in a small town.;[sound:67.mp3]
68;suchen;to search;Ich suche mein Handy.;I am looking for my phone.;[sound:68.mp3]
69;die Arbeit;work;Meine Arbeit macht Spaß.;I enjoy my work.;[sound:69.mp3]
70;der Stift, -e;pen;Kannst du mir einen Stift leihen?;Can you lend me a pen?;[sound:70.mp3]
71;der Kugelschreiber, -;ballpoint pen;Ich habe keinen Kugelschreiber.;'I don''t have a ballpoint pen.';[sound:71.mp3]
